name,position,industry,company_size,finance_stage,location,experience,education,salary
汇金智融（北京）科技有限公司,python爬虫工程师,,150-500人,上市公司,南山区,应届毕业生,本科,8k-16k
深圳市比特穿越科技有限公司,Python爬虫实习生,,15-50人,天使轮,南山区,应届毕业生,本科,3k-5k
深圳亨得利网络科技有限公司,Python爬虫采集工程师,大数据移动互联网爬虫工程师,15-50人,未融资,南山区,3-5年,大专,15k-25k
深圳华策辉弘科技有限公司,Python算法工程师（数据挖掘）,大数据金融数据分析,50-150人,未融资,福田区,1-3年,大专,15k-23k
深圳云端汇移动互联网有限公司,Python自动化测试开发工程师,,50-150人,不需要融资,龙华新区,1-3年,本科,10k-20k
深圳晶泰科技有限公司,科学计算软件开发工程师（ Python、C/C++、Fortran）,云计算云计算,50-150人,C轮,福田区,3-5年,本科,15k-25k
深圳华强聚丰电子科技有限公司,Python高级爬虫工程师（主管）,,150-500人,A轮,福田区,5-10年,本科,18k-25k
惠州市优已餐饮管理有限公司,基础架构工程师（C/C++/Go/Python/）,,50-150人,A轮,南山区,不限,本科,30k-50k
深圳佑驾创新科技有限公司,GO工程师,,150-500人,A轮,南山区,1-3年,本科,15k-30k
深圳市透明伞科技有限公司,高级后台开发/Python/go/Java/C++,,50-150人,B轮,南山区,3-5年,本科,25k-50k
深圳市迅雷网络技术有限公司,手雷-后台开发(Python/C++/Go),,500-2000人,上市公司,南山区,3-5年,本科,15k-30k
深圳码隆科技有限公司,研发经理（算法项目落地）,,50-150人,B轮,盐田区,3-5年,不限,25k-45k
百度在线网络技术（北京）有限公司,"高级后端研发工程师（PHP,Python,C++）",,2000人以上,不需要融资,南山区,应届毕业生,本科,20k-40k
北京市商汤科技开发有限公司,AR应用测试工程师,,2000人以上,C轮,南山区,1-3年,本科,15k-30k
深圳市木浪云数据有限公司,分布式后台研发工程师（Java）,,15-50人,天使轮,南山区,5-10年,本科,15k-25k
深圳市矽赫科技有限公司,服务开发工程师,大数据云计算平台Linux/Unix后端服务器端,15-50人,不需要融资,南山区,1-3年,本科,15k-30k
深圳市迅雷网络技术有限公司,海外-后台开发(C++/Python/Go),,500-2000人,上市公司,南山区,3-5年,本科,15k-30k
深圳码隆科技有限公司,研发经理（云端产品）,,50-150人,B轮,盐田区,5-10年,不限,25k-45k
北京市商汤科技开发有限公司,高级产品经理(AR云方向),,2000人以上,C轮,南山区,3-5年,本科,20k-40k
深圳市新华云帆科技有限公司,Go语言开发,,150-500人,B轮,南山区,1-3年,本科,15k-25k
上海易点时空网络有限公司,算法开发工程师,汽车移动互联网JavaHadoopPython后端,150-500人,C轮,宝安区,3-5年,本科,15k-30k
深圳虾皮信息科技有限公司,供应链后台开发工程师,,2000人以上,上市公司,南山区,1-3年,本科,15k-30k
深圳飞链科技有限公司,GO语言高级工程师（区块链）,,15-50人,天使轮,南山区,3-5年,不限,15k-25k
新分享科技服务（深圳）有限公司,大数据开发工程师,大数据HadoopSpark数据挖掘,50-150人,B轮,南山区,5-10年,本科,30k-50k
深圳市一面网络技术有限公司,数据分析师（数据工程方向）,大数据,50-150人,A轮,南山区,1年以下,本科,10k-20k
深圳朗安信息科技有限公司,运维开发工程师,云计算,50-150人,不需要融资,南山区,3-5年,本科,15k-30k
深圳市全民点游科技有限公司,大数据开发工程师,,150-500人,未融资,南山区,3-5年,大专,10k-20k
深圳市和讯华谷信息技术有限公司,高级数据开发工程师,大数据SparkScala数据挖掘,500-2000人,上市公司,南山区,3-5年,本科,20k-35k
岩心科技（深圳）有限公司,大数据开发工程师,互联网金融电商SparkHadoopJavaHive,500-2000人,C轮,南山区,1-3年,本科,15k-25k
深圳佑驾创新科技有限公司,服务端开发工程师,,150-500人,A轮,南山区,3-5年,本科,18k-35k
Gekko Artificial Intelligence Limited,后端开发 / 初级架构师,大数据docker平台解决方案,15-50人,天使轮,南山区,3-5年,本科,20k-35k
富泰华工业（深圳）有限公司,智能传感器开发工程师/经理,移动互联网大数据人工智能机器学习,2000人以上,上市公司,宝安区,3-5年,本科,10k-20k
深圳市多易得信息技术股份有限公司,web工程师,,150-500人,上市公司,宝安区,1-3年,本科,8k-15k
试金石信用服务有限公司,数据开发工程师,大数据金融,50-150人,不需要融资,南山区,3-5年,本科,15k-25k
深圳松茂科技有限公司,C++开发工程师,,50-150人,A轮,南山区,1-3年,本科,8k-13k
深圳市矽赫科技有限公司,全栈工程师,,15-50人,不需要融资,南山区,1-3年,本科,15k-30k
横琴科妥资产管理有限公司,量化系统研发工程师,,15-50人,不需要融资,南山区,不限,本科,15K-30K
深圳市博奥特科技有限公司,数据库开发工程师,,150-500人,未融资,福田区,1-3年,本科,11k-16k
深圳佑驾创新科技有限公司,客户端开发工程师,,150-500人,A轮,南山区,不限,本科,15k-30k
深圳市和讯华谷信息技术有限公司,运维开发工程师,,500-2000人,上市公司,南山区,不限,本科,12k-24k
北京字节跳动科技有限公司,流媒体开发工程师,后端开发,2000人以上,C轮,南山区,3-5年,本科,25k-50k
深圳百诺基因医疗技术有限公司,后台研发工程师,,50-150人,未融资,南山区,3-5年,大专,15k-20k
Moody's Analytics,C#.Net 开发架构师 / 工程师,电商移动互联网C#/.NET,2000人以上,上市公司,福田区,3-5年,本科,17k-30k
深圳蛋壳物联信息技术有限公司,区块链开发工程师,医疗健康,50-150人,不需要融资,南山区,3-5年,本科,10k-20k
深圳贝多多科技有限公司,JAVA开发工程师,,15-50人,A轮,南山区,3-5年,本科,14k-20k
联捷计算科技（深圳）有限公司,软件开发工程师,,50-150人,A轮,福田区,3-5年,本科,15k-30k
深圳市博奥特科技有限公司,初级数据库开发工程师,金融,150-500人,未融资,福田区,1-3年,本科,10k-12k
深圳市和讯华谷信息技术有限公司,高级运维开发工程师,云计算Linux,500-2000人,上市公司,南山区,不限,本科,20k-35k
深圳风林火山电脑技术有限公司,运维开发工程师,游戏信息安全Linux监控信息安全,50-150人,不需要融资,南山区,3-5年,本科,13k-25k
深圳市超级猩猩健身管理有限公司,高级Java开发工程师,新零售后端分布式,150-500人,C轮,南山区,3-5年,本科,15k-25k
上海淇毓信息科技有限公司,测试开发工程师,,500-2000人,未融资,福田区,3-5年,不限,15k-30k
北京市商汤科技开发有限公司,系统开发工程师（云地图）,,2000人以上,C轮,南山区,1-3年,本科,15k-30k
深圳市立新出行信息技术有限公司,高级后台开发工程师,,50-150人,不需要融资,宝安区,3-5年,本科,25k-35k
深圳达脉科技有限公司,后台高级开发工程师,,15-50人,天使轮,南山区,3-5年,本科,15k-30k
深圳晶泰科技有限公司,高级后端开发工程师,大数据PythonGolangNode.js分布式,50-150人,C轮,福田区,3-5年,本科,25k-35k
盛世乐居(亚东)智能科技有限公司深圳分公司,Android开发工程师,,15-50人,不需要融资,南山区,3-5年,本科,16k-25k
北京字节跳动科技有限公司,后端开发工程师 - 直播/实时通信,后端开发,2000人以上,C轮,南山区,3-5年,本科,25k-50k
深圳市环球易购电子商务有限公司,监控系统开发工程师,电商运维,2000人以上,上市公司,南山区,3-5年,大专,15k-25k
杭州云脑科技有限公司,大数据开发工程师,,50-150人,A轮,南山区,3-5年,本科,15k-30k
深圳凯因卡德科技有限公司,后端开发工程师,游戏Linux/UnixC++,15-50人,A轮,南山区,不限,不限,10k-20k
厂多多网络科技（深圳）有限公司,嵌入式软件开发工程师（急招）,电商企业服务Linux,15-50人,天使轮,宝安区,3-5年,本科,25k-30k
深圳市立新出行信息技术有限公司,后台开发工程师,电商支付GolangJavaMySQL,50-150人,不需要融资,宝安区,1-3年,本科,15k-25k
深圳市矽赫科技有限公司,应用软件工程师,智能硬件ARMLinux智能硬件硬件开发,15-50人,不需要融资,南山区,1-3年,本科,15k-30k
联捷计算科技（深圳）有限公司,软件开发工程师,,50-150人,A轮,福田区,3-5年,本科,12k-24k
腾讯科技(深圳)有限公司,TEG13-大数据后台开发工程师,,2000人以上,上市公司,南山区,1-3年,本科,18k-36k
深圳市天杭科技有限公司,C++开发工程师,,50-150人,不需要融资,龙华新区,3-5年,本科,15k-30k
深圳依时货拉拉科技有限公司,技术副总监（数据分析方向）J10758,,2000人以上,C轮,福田区,5-10年,本科,30k-50k
深圳松茂科技有限公司,系统工程师,,50-150人,A轮,南山区,1-3年,大专,8k-12k
深圳市尚游网络科技有限公司,U3D客户端开发工程师——诺亚手游,,150-500人,不需要融资,南山区,1-3年,本科,10k-17k
深圳市瑞宝麟财富投资管理有限公司,运维开发工程师,互联网金融,2000人以上,不需要融资,南山区,3-5年,大专,15k-30k
万汇互联（深圳）科技有限公司,量化交易引擎高级开发工程师,,150-500人,天使轮,南山区,3-5年,本科,35k-50k
